,Justice,Média,Police,AN,Science,Administration,Entreprises,Associations,Gouvernement,Agences,Médecins,Sénat
931,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0
932,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
933,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
934,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0
935,4.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0
936,4.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,4.0
937,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
938,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0
939,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0
940,2.0,5.0,2.0,4.0,2.0,5.0,5.0,2.0,5.0,4.0,2.0,4.0
941,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
942,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0
943,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0
944,2.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0
945,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
946,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0
947,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0
948,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0
949,4.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,2.0,5.0
950,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0
951,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
952,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0
953,5.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0
954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
955,2.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0
956,2.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0
957,5.0,2.0,5.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,4.0
958,2.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,5.0,1.0,1.0,4.0
959,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0
960,4.0,5.0,2.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0
961,4.0,4.0,4.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,2.0,5.0
962,4.0,5.0,4.0,5.0,2.0,2.0,5.0,4.0,5.0,4.0,2.0,5.0
963,4.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0
964,2.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0
965,4.0,4.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0
966,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
967,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
968,2.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0
969,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
970,4.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,4.0,2.0,4.0
971,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
972,4.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0
973,5.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0
974,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
975,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0
976,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0
977,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0
978,5.0,5.0,4.0,5.0,1.0,5.0,2.0,1.0,5.0,5.0,2.0,5.0
979,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
980,4.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
981,4.0,4.0,5.0,5.0,1.0,4.0,2.0,4.0,5.0,5.0,2.0,5.0
982,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0
983,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
984,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0
985,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
986,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
987,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0
988,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0
989,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0
990,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
991,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0
992,2.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,5.0
993,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
994,4.0,5.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,4.0,2.0,5.0
995,5.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
996,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0
